Date,Close
5/11/2018,5.21
5/14/2018,5.19
5/15/2018,5.26
5/16/2018,5.2
5/17/2018,5.19
5/18/2018,5.19
5/21/2018,5.25
5/22/2018,5.23
5/23/2018,5.22
5/24/2018,5.25
5/25/2018,5.51
5/29/2018,5.4
5/30/2018,5.39
5/31/2018,5.43
6/1/2018,5.52
6/4/2018,5.86
6/5/2018,6.25
6/6/2018,6.39
6/7/2018,6.51
6/8/2018,6.35
6/11/2018,7.28
6/12/2018,7.59
6/13/2018,7.39
6/14/2018,7.42
6/15/2018,7.21
6/18/2018,7.23
6/19/2018,7.19
6/20/2018,7.43
6/21/2018,7.12
6/22/2018,7.01
6/25/2018,6.77
6/26/2018,6.83
6/27/2018,6.56
6/28/2018,6.62
6/29/2018,6.53
7/2/2018,6.61
7/3/2018,6.54
7/5/2018,6.61
7/6/2018,6.86
7/9/2018,7.05
7/10/2018,6.93
7/11/2018,6.6
7/12/2018,6.65
7/13/2018,6.65
7/16/2018,6.67
7/17/2018,6.74
7/18/2018,6.65
7/19/2018,6.52
7/20/2018,6.07
7/23/2018,6.02
7/24/2018,6
7/25/2018,5.97
7/26/2018,5.98
7/27/2018,5.75
7/30/2018,5.72
7/31/2018,5.93
8/1/2018,5.92
8/2/2018,5.45
8/3/2018,5.46
8/6/2018,5.45
8/7/2018,5.56
8/8/2018,5.6
8/9/2018,5.62
8/10/2018,5.52
8/13/2018,5.4
8/14/2018,5.42
8/15/2018,5.28
8/16/2018,5.46
8/17/2018,5.7
8/20/2018,6.01
8/21/2018,6.08
8/22/2018,6.06
8/23/2018,6.07
8/24/2018,6.04
8/27/2018,6.24
8/28/2018,6.26
8/29/2018,6.29
8/30/2018,6.06
8/31/2018,6.02
9/4/2018,5.83
9/5/2018,5.88
9/6/2018,5.84
9/7/2018,5.87
9/10/2018,5.92
9/11/2018,5.94
9/12/2018,5.53
9/13/2018,5.64
9/14/2018,5.51
9/17/2018,5.45
9/18/2018,5.8
9/19/2018,6.11
9/20/2018,6.08
9/21/2018,5.94
9/24/2018,5.66
9/25/2018,5.69
9/26/2018,5.51
9/27/2018,5.55
9/28/2018,5.35
10/1/2018,5.35
10/2/2018,5.11
10/3/2018,5.14
10/4/2018,5
10/5/2018,5.04
10/8/2018,5.07
10/9/2018,4.94
10/10/2018,4.65
10/11/2018,4.5
10/12/2018,4.62
10/15/2018,4.84
10/16/2018,5.08
10/17/2018,4.98
10/18/2018,4.84
10/19/2018,4.75
10/22/2018,4.82
10/23/2018,4.81
10/24/2018,4.58
10/25/2018,4.67
10/26/2018,4.56
10/29/2018,4.33
10/30/2018,4.42
10/31/2018,4.73
11/1/2018,5.95
11/2/2018,6.1
11/5/2018,5.9
11/6/2018,6.24
11/7/2018,6.31
11/8/2018,6.36
11/9/2018,5.96
11/12/2018,5.74
11/13/2018,5.76
11/14/2018,5.61
11/15/2018,5.66
11/16/2018,5.61
11/19/2018,5.31
11/20/2018,5.12
11/21/2018,5.33
11/23/2018,5.38
11/26/2018,5.47
11/27/2018,5.34
11/28/2018,5.41
11/29/2018,5.38
11/30/2018,5.51
12/3/2018,5.54
12/4/2018,5.21
12/6/2018,5.15
12/7/2018,4.98
12/10/2018,4.97
12/11/2018,4.96
12/12/2018,5
12/13/2018,4.79
12/14/2018,4.9
12/17/2018,4.83
12/18/2018,5.08
12/19/2018,5.1
12/20/2018,4.99
12/21/2018,4.8
12/24/2018,4.62
12/26/2018,4.98
12/27/2018,4.94
12/28/2018,5.03
12/31/2018,4.97
1/2/2019,5.37
1/3/2019,5.18
1/4/2019,5.43
1/7/2019,5.57
1/8/2019,5.68
1/9/2019,5.68
1/10/2019,5.72
1/11/2019,5.99
1/14/2019,5.91
1/15/2019,6.06
1/16/2019,6.03
1/17/2019,6.11
1/18/2019,6.05
1/22/2019,6.06
1/23/2019,6.05
1/24/2019,6.19
1/25/2019,6.22
1/28/2019,6.18
1/29/2019,6
1/30/2019,6.1
1/31/2019,6.17
2/1/2019,6.2
2/4/2019,6.17
2/5/2019,6.35
2/6/2019,6.43
2/7/2019,6.45
2/8/2019,6.49
2/11/2019,6.66
2/12/2019,6.67
2/13/2019,6.45
2/14/2019,6.47
2/15/2019,6.41
2/19/2019,6.38
2/20/2019,6.64
2/21/2019,6.63
2/22/2019,6.7
2/25/2019,6.56
2/26/2019,6.61
2/27/2019,6.87
2/28/2019,5.92
3/1/2019,6.14
3/4/2019,5.94
3/5/2019,5.92
3/6/2019,6.03
3/7/2019,5.75
3/8/2019,5.68
3/11/2019,5.9
3/12/2019,5.85
3/13/2019,5.92
3/14/2019,5.87
3/15/2019,5.9
3/18/2019,5.9
3/19/2019,5.93
3/20/2019,5.98
3/21/2019,6.06
3/22/2019,5.83
3/25/2019,5.74
3/26/2019,5.8
3/27/2019,5.8
3/28/2019,5.86
3/29/2019,5.92
4/1/2019,5.85
4/2/2019,5.88
4/3/2019,5.98
4/4/2019,5.97
4/5/2019,5.97
4/8/2019,5.97
4/9/2019,5.84
4/10/2019,5.88
4/11/2019,5.8
4/12/2019,5.71
4/15/2019,5.57
4/16/2019,5.5
4/17/2019,5.38
4/18/2019,5.38
4/22/2019,5.41
4/23/2019,5.5
4/24/2019,5.46
4/25/2019,5.33
4/26/2019,5.36
4/29/2019,5.39
4/30/2019,5.28
5/1/2019,5.37
5/2/2019,4.96
5/3/2019,5.09
5/6/2019,5.16
5/7/2019,5.03
